***Estimated crime in Alabama

Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,
2000,   4447100,      21620,         329,       1482,,       5702,      14107,         486.2,           7.4,          33.3,,         128.2,         317.2 
2001,   4468912,      19582,         379,       1369,,       5584,      12250,         438.2,           8.5,          30.6,,         125.0,         274.1 
2002,   4478896,      19931,         303,       1664,,       5962,      12002,         445.0,           6.8,          37.2,,         133.1,         268.0 
2003,   4503726,      19331,         299,       1656,,       6038,      11338,         429.2,           6.6,          36.8,,         134.1,         251.7 
2004,   4525375,      19324,         254,       1742,,       6042,      11286,         427.0,           5.6,          38.5,,         133.5,         249.4 
2005,   4548327,      19678,         374,       1564,,       6447,      11293,         433.0,           8.2,          34.4,,         141.7,         248.3 
2006,   4599030,      19553,         382,       1646,,       7062,      10463,         425.2,           8.3,          35.8,,         153.6,         227.5 
2007,   4627851,      20775,         412,       1548,,       7398,      11417,         448.9,           8.9,          33.4,,         159.9,         246.7 
2008,   4661900,      21110,         351,       1618,,       7346,      11795,         452.8,           7.5,          34.7,,         157.6,         253.0 
2009,   4708708,      21194,         322,       1504,,       6265,      13103,         450.1,           6.8,          31.9,,         133.1,         278.3 
2010,   4785401,      18363,         275,       1355,,       4864,      11869,         383.7,           5.7,          28.3,,         101.6,         248.0 
2011,   4803689,      20166,         299,       1370,,       4906,      13591,         419.8,           6.2,          28.5,,         102.1,         282.9 
2012,   4817528,      21693,         342,       1296,,       5020,      15035,         450.3,           7.1,          26.9,,         104.2,         312.1 
2013,   4833996,      20834,         346,       1449,       2055,       4645,      13788,         431.0,           7.2,          30.0,          42.5,          96.1,         285.2 
2014,   4849377,      20727,         276,       1436,       2005,       4701,      13745,         427.4,           5.7,          29.6,          41.3,          96.9,         283.4 

***Estimated crime in Alaska

Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,
2000,     626932,       3554,          27,         497,,         490,       2540,         566.9,           4.3,          79.3,,          78.2,         405.1 
2001,     633630,       3735,          39,         501,,         514,       2681,         589.5,           6.2,          79.1,,          81.1,         423.1 
2002,     641482,       3627,          33,         511,,         489,       2594,         565.4,           5.1,          79.7,,          76.2,         404.4 
2003,     648280,       3877,          39,         605,,         446,       2787,         598.0,           6.0,          93.3,,          68.8,         429.9 
2004,     657755,       4159,          37,         558,,         447,       3117,         632.3,           5.6,          84.8,,          68.0,         473.9 
2005,     663253,       4194,          32,         538,,         537,       3087,         632.0,           4.8,          81.1,,          81.0,         465.4 
2006,     670053,       4610,          36,         512,,         600,       3462,         688.0,           5.4,          76.4,,          89.5,         516.7 
2007,     683478,       4520,          43,         545,,         581,       3351,         661.3,           6.3,          79.7,,          85.0,         490.3 
2008,     686293,       4475,          27,         447,,         645,       3356,         652.1,           3.9,          65.1,,          94.0,         489.0 
2009,     698473,       4424,          22,         513,,         654,       3235,         633.4,           3.1,          73.4,,          93.6,         463.2 
2010,     714146,       4537,          31,         533,,         594,       3379,         635.3,           4.3,          74.6,,          83.2,         473.2 
2011,     723860,       4416,          30,         436,,         576,       3374,         610.1,           4.1,          60.2,,          79.6,         466.1 
2012,     730307,       4412,          30,         583,,         630,       3169,         604.1,           4.1,          79.8,,          86.3,         433.9 
2013,     737259,       4709,          34,         657,         925,         623,       3127,         638.7,           4.6,          89.1,         125.5,          84.5,         424.1 
2014,     736732,       4684,          41,         555,         771,         629,       3243,         635.8,           5.6,          75.3,         104.7,          85.4,         440.2 


***Estimated crime in Arizona

Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,
2000,   5130632,      27281,         359,       1577,,       7504,      17841,         531.7,           7.0,          30.7,,         146.3,         347.7 
2001,   5306966,      28675,         400,       1518,,       8868,      17889,         540.3,           7.5,          28.6,,         167.1,         337.1 
2002,   5441125,      30171,         387,       1608,,       8000,      20176,         554.5,           7.1,          29.6,,         147.0,         370.8 
2003,   5579222,      28638,         441,       1856,,       7619,      18722,         513.3,           7.9,          33.3,,         136.6,         335.6 
2004,   5739879,      28952,         414,       1896,,       7721,      18921,         504.4,           7.2,          33.0,,         134.5,         329.6 
2005,   5953007,      30478,         445,       2006,,       8579,      19448,         512.0,           7.5,          33.7,,         144.1,         326.7 
2006,   6166318,      33456,         533,       2449,,       9491,      20983,         542.6,           8.6,          39.7,,         153.9,         340.3 
2007,   6338755,      32835,         548,       2353,,       9764,      20170,         518.0,           8.6,          37.1,,         154.0,         318.2 
2008,   6500180,      31567,         462,       2200,,       9809,      19096,         485.6,           7.1,          33.8,,         150.9,         293.8 
2009,   6595778,      28128,         380,       2279,,       8199,      17270,         426.5,           5.8,          34.6,,         124.3,         261.8 
2010,   6413158,      26528,         408,       2191,,       6953,      16976,         413.6,           6.4,          34.2,,         108.4,         264.7 
2011,   6467315,      26789,         397,       2499,,       7145,      16748,         414.2,           6.1,          38.6,,         110.5,         259.0 
2012,   6551149,      28077,         358,       2282,,       7383,      18054,         428.6,           5.5,          34.8,,         112.7,         275.6 
2013,   6634997,      27576,         355,       2344,       3174,       6656,      17391,         415.6,           5.4,          35.3,          47.8,         100.3,         262.1 
2014,   6731484,      26916,         319,       2464,       3378,       6249,      16970,         399.9,           4.7,          36.6,          50.2,          92.8,         252.1 


***Estimated crime in Arkansas

Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,
2000,   2673400,      11904,         168,         848,,       2001,       8887,         445.3,           6.3,          31.7,,          74.8,         332.4 
2001,   2694698,      12190,         148,         892,,       2181,       8969,         452.4,           5.5,          33.1,,          80.9,         332.8 
2002,   2706268,      11501,         142,         754,,       2524,       8081,         425.0,           5.2,          27.9,,          93.3,         298.6 
2003,   2727774,      12449,         180,         911,,       2227,       9131,         456.4,           6.6,          33.4,,          81.6,         334.7 
2004,   2750000,      13814,         176,       1183,,       2372,      10083,         502.3,           6.4,          43.0,,          86.3,         366.7 
2005,   2775708,      14670,         189,       1202,,       2532,      10747,         528.0,           6.8,          43.3,,          91.2,         387.2 
2006,   2810872,      15538,         205,       1325,,       2749,      11259,         552.8,           7.3,          47.1,,          97.8,         400.6 
2007,   2834797,      15226,         198,       1294,,       3105,      10629,         537.1,           7.0,          45.6,,         109.5,         374.9 
2008,   2855390,      14649,         165,       1463,,       2777,      10244,         513.0,           5.8,          51.2,,          97.3,         358.8 
2009,   2889450,      14905,         179,       1378,,       2576,      10772,         515.8,           6.2,          47.7,,          89.2,         372.8 
2010,   2921588,      14711,         134,       1321,,       2369,      10887,         503.5,           4.6,          45.2,,          81.1,         372.6 
2011,   2938582,      14173,         160,       1230,,       2357,      10426,         482.3,           5.4,          41.9,,          80.2,         354.8 
2012,   2949828,      13851,         174,       1233,,       2310,      10134,         469.6,           5.9,          41.8,,          78.3,         343.5 
2013,   2958765,      13705,         158,       1135,       1490,       2261,       9796,         463.2,           5.3,          38.4,          50.4,          76.4,         331.1 
2014,   2966369,      14243,         165,       1182,       1763,       2050,      10265,         480.1,           5.6,          39.8,          59.4,          69.1,         346.0 

***Estimated crime in California

Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,
2000,  33871648,     210531,       2079,       9785,,      60249,     138418,         621.6,           6.1,          28.9,,         177.9,         408.7 
2001,  34600463,     212867,       2206,       9960,,      64614,     136087,         615.2,           6.4,          28.8,,         186.7,         393.3 
2002,  35001986,     208388,       2395,      10198,,      64968,     130827,         595.4,           6.8,          29.1,,         185.6,         373.8 
2003,  35462712,     205551,       2407,       9994,,      63770,     129380,         579.6,           6.8,          28.2,,         179.8,         364.8 
2004,  35842038,     189175,       2392,       9615,,      61768,     115400,         527.8,           6.7,          26.8,,         172.3,         322.0 
2005,  36154147,     190178,       2503,       9392,,      63622,     114661,         526.0,           6.9,          26.0,,         176.0,         317.1 
2006,  36457549,     194483,       2486,       9235,,      71142,     111620,         533.5,           6.8,          25.3,,         195.1,         306.2 
2007,  36553215,     191561,       2262,       9046,,      70706,     109547,         524.1,           6.2,          24.7,,         193.4,         299.7 
